               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.030425,            0.050177,            0.014984,             0.68336,             0.84976,             0.72604,             0.48117,            0.026136,             0.02725,            0.010858,            0.006436,            0.006436,            0.006436
                  38,            0.029342,            0.049473,            0.014098,             0.66349,             0.86401,             0.73462,             0.47148,            0.026492,            0.027216,            0.010238,            0.006337,            0.006337,            0.006337
                  39,            0.029401,            0.048904,            0.014414,             0.67531,              0.8817,             0.73835,             0.44292,            0.027705,            0.027195,           0.0096677,            0.006238,            0.006238,            0.006238
                  40,            0.029241,             0.04849,            0.013754,             0.68805,             0.88179,             0.74953,             0.48788,            0.026745,            0.028437,           0.0097402,            0.006139,            0.006139,            0.006139
                  41,            0.028594,            0.047839,            0.014113,             0.69966,             0.88499,             0.76036,             0.49304,            0.026282,            0.027868,           0.0095527,             0.00604,             0.00604,             0.00604
                  42,            0.028449,            0.047328,            0.013743,             0.72728,             0.89606,             0.76545,             0.50475,            0.024747,            0.028436,           0.0092893,            0.005941,            0.005941,            0.005941
                  43,            0.027825,            0.050738,            0.012905,             0.68899,             0.88933,              0.7443,             0.49023,            0.025133,            0.027288,           0.0085851,            0.005842,            0.005842,            0.005842
                  44,            0.027042,            0.050648,             0.01096,             0.72174,             0.90563,             0.76142,             0.48848,            0.027157,            0.027725,           0.0078795,            0.005743,            0.005743,            0.005743
                  45,            0.027399,            0.048979,            0.013055,             0.72296,             0.91604,             0.76695,             0.50459,            0.021798,            0.026657,           0.0076521,            0.005644,            0.005644,            0.005644
                  46,            0.026134,            0.048402,            0.013509,              0.7383,             0.90252,             0.77416,              0.4722,            0.024924,            0.026907,           0.0073943,            0.005545,            0.005545,            0.005545
                  47,            0.026578,            0.046265,            0.012209,             0.73253,             0.93827,             0.78013,             0.51106,            0.022715,            0.028129,           0.0071015,            0.005446,            0.005446,            0.005446
                  48,             0.02602,            0.045718,            0.012574,             0.74679,              0.9339,             0.78419,             0.50488,            0.021403,            0.027228,           0.0067793,            0.005347,            0.005347,            0.005347
                  49,            0.025696,            0.048273,           0.0098335,              0.7447,             0.91258,             0.77633,             0.51632,            0.023344,            0.028443,           0.0078808,            0.005248,            0.005248,            0.005248
                  50,            0.026016,            0.045833,            0.010744,             0.76149,             0.94095,             0.79617,             0.51087,             0.02209,            0.027445,           0.0061533,            0.005149,            0.005149,            0.005149
                  51,            0.025564,            0.046644,            0.010198,             0.75525,             0.94273,             0.78434,             0.47806,            0.022539,             0.02831,           0.0064453,             0.00505,             0.00505,             0.00505
                  52,            0.025207,            0.048415,           0.0094278,             0.74323,             0.91981,             0.76829,             0.52744,            0.025138,            0.029159,           0.0087499,            0.004951,            0.004951,            0.004951
                  53,            0.025122,            0.045808,            0.010377,             0.75008,             0.92499,             0.77717,             0.55612,            0.021904,            0.027241,            0.007803,            0.004852,            0.004852,            0.004852
                  54,            0.024828,            0.045477,           0.0098514,             0.75361,             0.94777,             0.79583,             0.53635,            0.020902,            0.027579,            0.005667,            0.004753,            0.004753,            0.004753
                  55,            0.023707,             0.04699,           0.0086434,             0.76152,             0.93909,             0.79543,             0.55722,            0.021096,             0.02726,           0.0054959,            0.004654,            0.004654,            0.004654
                  56,            0.023799,            0.047157,           0.0093176,             0.76056,             0.94049,             0.79906,             0.56563,            0.020918,            0.025759,            0.005379,            0.004555,            0.004555,            0.004555
                  57,            0.024423,            0.046259,           0.0082217,             0.75339,             0.93665,             0.79407,             0.58041,            0.021595,            0.027045,           0.0053837,            0.004456,            0.004456,            0.004456
                  58,            0.023861,            0.046276,            0.010175,             0.75727,             0.94938,             0.79304,             0.57923,            0.019561,            0.026715,           0.0052983,            0.004357,            0.004357,            0.004357
                  59,            0.024061,             0.04448,           0.0082579,             0.76066,             0.94536,             0.78879,             0.55207,            0.022204,            0.027689,           0.0053668,            0.004258,            0.004258,            0.004258
                  60,            0.024032,            0.044986,           0.0089847,             0.76647,              0.9458,             0.79442,             0.55904,            0.020351,            0.027233,           0.0050305,            0.004159,            0.004159,            0.004159
                  61,             0.02314,            0.045456,           0.0089226,             0.75722,             0.94665,              0.7869,             0.56731,            0.020309,            0.027816,           0.0048307,             0.00406,             0.00406,             0.00406
                  62,            0.022604,            0.043649,           0.0088507,             0.74904,             0.94792,             0.78615,             0.56351,             0.01998,            0.029134,           0.0053585,            0.003961,            0.003961,            0.003961
                  63,            0.022214,            0.045237,           0.0080831,             0.75356,             0.95762,             0.78571,             0.56166,            0.019043,            0.027265,           0.0048408,            0.003862,            0.003862,            0.003862
                  64,             0.02213,            0.042798,           0.0082464,              0.7489,             0.95403,             0.78226,             0.53814,            0.019703,            0.028222,            0.004601,            0.003763,            0.003763,            0.003763
                  65,            0.022124,            0.046755,           0.0076158,             0.74917,             0.96507,             0.79146,             0.56962,            0.020222,            0.027208,           0.0045703,            0.003664,            0.003664,            0.003664
                  66,            0.021664,            0.044607,           0.0067263,             0.75655,             0.95629,             0.79497,             0.59164,            0.018689,            0.026773,           0.0044521,            0.003565,            0.003565,            0.003565
                  67,            0.021146,             0.04578,            0.006611,              0.7618,                0.95,             0.79585,             0.57973,            0.019958,            0.028254,           0.0043366,            0.003466,            0.003466,            0.003466
                  68,            0.020772,             0.04192,           0.0071857,             0.75998,             0.95523,             0.78877,             0.58971,            0.020006,            0.026781,           0.0042797,            0.003367,            0.003367,            0.003367
                  69,              0.0217,            0.043313,           0.0075574,             0.74936,             0.94563,             0.77993,             0.58089,            0.019469,            0.028551,           0.0067936,            0.003268,            0.003268,            0.003268
                  70,            0.020884,            0.044373,           0.0065632,               0.758,             0.92992,             0.78233,              0.5779,            0.019633,            0.027965,           0.0058452,            0.003169,            0.003169,            0.003169
                  71,            0.020186,            0.045681,            0.006951,             0.75602,             0.95982,             0.79677,             0.59879,            0.018617,            0.026859,           0.0040529,             0.00307,             0.00307,             0.00307
                  72,            0.020032,            0.042458,           0.0064329,             0.76388,             0.94628,             0.79542,             0.60037,            0.017604,            0.026175,           0.0039236,            0.002971,            0.002971,            0.002971
                  73,            0.020327,            0.043158,           0.0067969,             0.76409,             0.95523,             0.79096,             0.58786,            0.017518,            0.027947,           0.0037745,            0.002872,            0.002872,            0.002872
                  74,            0.020472,            0.044066,           0.0070252,             0.76205,             0.96583,              0.7895,             0.58923,            0.017566,            0.028127,           0.0038299,            0.002773,            0.002773,            0.002773
                  75,            0.019661,            0.043769,           0.0054161,             0.76297,             0.96769,             0.78592,             0.59874,            0.017947,            0.027936,            0.003773,            0.002674,            0.002674,            0.002674
                  76,            0.018878,            0.042637,           0.0061095,             0.76278,             0.96914,             0.79259,             0.60848,            0.017897,             0.02764,           0.0036005,            0.002575,            0.002575,            0.002575
                  77,            0.018855,            0.042891,           0.0061679,               0.759,             0.97377,                 0.8,             0.59808,            0.019581,            0.027029,            0.003603,            0.002476,            0.002476,            0.002476
                  78,            0.019528,            0.044462,           0.0075716,             0.76477,             0.96522,              0.8024,             0.60387,            0.017611,            0.028179,           0.0035854,            0.002377,            0.002377,            0.002377
                  79,            0.019156,            0.041035,           0.0058088,             0.76556,             0.96086,             0.79469,             0.60558,             0.01691,            0.026971,           0.0034867,            0.002278,            0.002278,            0.002278
                  80,            0.018612,            0.042747,           0.0057076,             0.76716,             0.96237,             0.79428,             0.60945,            0.017928,            0.028116,           0.0034342,            0.002179,            0.002179,            0.002179
                  81,            0.018187,            0.043186,            0.006007,             0.76171,             0.96681,             0.79538,             0.60473,            0.017495,            0.027319,           0.0035399,             0.00208,             0.00208,             0.00208
                  82,             0.01889,            0.041249,           0.0064106,              0.7577,             0.96369,             0.78825,             0.59532,            0.016488,            0.027764,           0.0037092,            0.001981,            0.001981,            0.001981
                  83,            0.018334,            0.041778,           0.0063365,             0.76271,             0.96909,             0.78805,             0.59756,             0.01621,            0.027911,           0.0033226,            0.001882,            0.001882,            0.001882
                  84,            0.017228,            0.040513,           0.0059332,             0.76629,              0.9662,             0.78463,             0.60379,            0.016159,            0.027769,           0.0032146,            0.001783,            0.001783,            0.001783
                  85,            0.017055,            0.040473,           0.0058913,             0.76143,             0.96351,               0.785,             0.60607,            0.016623,            0.027694,           0.0032635,            0.001684,            0.001684,            0.001684
                  86,            0.017187,            0.040493,           0.0053583,             0.75921,             0.97397,             0.78826,             0.60308,             0.01623,            0.028177,           0.0031658,            0.001585,            0.001585,            0.001585
                  87,            0.016712,            0.040212,           0.0045349,              0.7627,             0.96731,             0.78274,              0.6019,            0.016357,            0.027388,           0.0030238,            0.001486,            0.001486,            0.001486
                  88,            0.016603,            0.041314,           0.0060542,             0.76233,             0.97535,             0.78231,             0.60419,            0.015905,            0.027991,           0.0029565,            0.001387,            0.001387,            0.001387
                  89,            0.015965,             0.03961,           0.0061453,             0.76467,             0.96852,             0.78521,             0.61598,            0.015396,            0.027987,           0.0028844,            0.001288,            0.001288,            0.001288
                  90,            0.016692,            0.040653,           0.0065101,             0.76492,             0.97519,              0.7888,             0.60909,            0.015864,            0.027227,           0.0028602,            0.001189,            0.001189,            0.001189
                  91,            0.015705,            0.039028,           0.0048291,             0.76518,             0.97586,             0.78857,             0.60733,            0.015919,            0.028048,           0.0027969,             0.00109,             0.00109,             0.00109
                  92,            0.016209,            0.040267,           0.0061962,             0.76257,             0.97485,             0.78554,             0.61144,            0.015324,            0.028001,           0.0027335,            0.000991,            0.000991,            0.000991
                  93,            0.015524,            0.041299,           0.0047314,             0.76093,             0.97617,             0.78313,             0.61589,            0.014829,            0.027332,           0.0027149,            0.000892,            0.000892,            0.000892
                  94,             0.01572,            0.040479,           0.0044662,             0.76605,             0.96625,             0.77988,             0.60831,            0.014842,            0.027785,           0.0026883,            0.000793,            0.000793,            0.000793
                  95,            0.015805,            0.039536,           0.0062663,             0.76706,             0.96561,             0.78001,             0.61026,            0.014841,            0.028353,           0.0026248,            0.000694,            0.000694,            0.000694
                  96,            0.015293,            0.041632,           0.0048133,             0.76579,             0.96756,             0.78159,             0.61265,            0.014867,             0.02834,           0.0025972,            0.000595,            0.000595,            0.000595
                  97,            0.015465,            0.038656,           0.0047466,             0.76631,               0.967,             0.78254,             0.61837,            0.014582,            0.028568,           0.0025411,            0.000496,            0.000496,            0.000496
                  98,            0.014858,            0.041116,           0.0044233,             0.76629,             0.96775,             0.78295,             0.61492,            0.014255,            0.028598,           0.0025138,            0.000397,            0.000397,            0.000397
                  99,            0.014879,            0.041253,           0.0042842,             0.76549,             0.97053,             0.78325,             0.62027,            0.014241,            0.028376,           0.0024892,            0.000298,            0.000298,            0.000298
